raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
The table was not properly cleaned before seating.,['table'],['negative'],"[{'term': 'table', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1260,['table'],['negative'],1
The main dining room was crowded and poorly arranged.,['main dining room'],['negative'],"[{'term': 'main dining room', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15,['main dining room'],['negative'],1
"The wine list, unfortunately, fell short of expectations.",['wine list'],['negative'],"[{'term': 'wine list', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",825,['wine list'],['negative'],1
There was nothing special about the duck breast special.,['duck breast special'],['negative'],"[{'term': 'duck breast special', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2282,['duck breast special'],['negative'],1
"The signs were unclear, inconsistently placed, and difficult to read from a distance, which caused confusion throughout the visit.",['signs'],['negative'],"[{'term': 'signs', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",781,['signs'],['negative'],1
"The actors lacked energy, the garden terrace was poorly maintained, and the dhal was bland and undercooked.","['actors', 'garden terrace', 'dhal']","['negative', 'negative', 'negative']","[{'term': 'actors', 'polarity': 'negative'}, {'term': 'garden terrace', 'polarity': 'negative'}, {'term': 'dhal', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",959,"['actors', 'garden terrace', 'dhal']","['negative', 'negative', 'negative']",3
"The crab salad and Indian food were disappointing, but the crab cakes weren't much better","['crab salad', 'Indian food', 'crab cakes']","['negative', 'negative', 'negative']","[{'term': 'crab salad', 'polarity': 'negative'}, {'term': 'Indian food', 'polarity': 'negative'}, {'term': 'crab cakes', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2217,"['crab salad', 'Indian food', 'crab cakes']","['negative', 'negative', 'negative']",3
"The Casimir and the desert were a letdown, and the waitress seemed annoyed at us.","['Casimir', 'desert', 'waitress']","['negative', 'negative', 'negative']","[{'term': 'Casimir', 'polarity': 'negative'}, {'term': 'desert', 'polarity': 'negative'}, {'term': 'waitress', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",729,"['Casimir', 'desert', 'waitress']","['negative', 'negative', 'negative']",3
"The sushi and non-veg selections were disappointing, but the Margheritta slice was a letdown too","['sushi', 'non-veg selections', 'Margheritta slice']","['negative', 'negative', 'negative']","[{'term': 'sushi', 'polarity': 'negative'}, {'term': 'non-veg selections', 'polarity': 'negative'}, {'term': 'Margheritta slice', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",428,"['sushi', 'non-veg selections', 'Margheritta slice']","['negative', 'negative', 'negative']",3
"The burgers were dry and overcooked, the rice to fish ration was all wrong, but there wasn't much choice on the appetizer menu anyway","['burgers', 'rice to fish ration', 'appetizer menu']","['negative', 'negative', 'negative']","[{'term': 'burgers', 'polarity': 'negative'}, {'term': 'rice to fish ration', 'polarity': 'negative'}, {'term': 'appetizer menu', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",491,"['burgers', 'rice to fish ration', 'appetizer menu']","['negative', 'negative', 'negative']",3
The terrace was located at the back of the restaurant.,['terrace'],['neutral'],"[{'term': 'terrace', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",762,['terrace'],['neutral'],1
"The pad thai was okay, nothing special to write home about.","['pad thai', 'turnip cake']",['neutral'],"[{'term': 'pad thai', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",2239,['pad thai'],['neutral'],1
"The chai served at the establishment is a customary offering, neither particularly remarkable nor disappointing, serving primarily as an accompaniment to the dining experience rather than a highlight",['chai'],['neutral'],"[{'term': 'chai', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1817,['chai'],['neutral'],1
"The lobster, while neither exceptionally remarkable nor disappointingly mediocre, served as a straightforward offering.",['lobster'],['neutral'],"[{'term': 'lobster', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",384,['lobster'],['neutral'],1
"There's an in-house lady DJ spinning tunes tonight, nothing too special but it adds to the vibe",['in-house lady DJ'],['neutral'],"[{'term': 'in-house lady DJ', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",70,['in-house lady DJ'],['neutral'],1
"The New England Chowder was okay, but the outside table and pesto pizza were great!","['New England Chowder', 'outside table', 'pesto pizza']","['neutral', 'positive', 'positive']","[{'term': 'New England Chowder', 'polarity': 'neutral'}, {'term': 'outside table', 'polarity': 'positive'}, {'term': 'pesto pizza', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",200,"['New England Chowder', 'outside table', 'pesto pizza']","['neutral', 'positive', 'positive']",3
"The pad penang had a decent vibe, but the nigiri was just okay and didn't impress much","['pad penang', 'vibe', 'nigiri']","['neutral', 'positive', 'negative']","[{'term': 'pad penang', 'polarity': 'neutral'}, {'term': 'vibe', 'polarity': 'positive'}, {'term': 'nigiri', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1536,"['pad penang', 'vibe', 'nigiri']","['neutral', 'positive', 'negative']",3
"The congee, while unremarkable and serving as a simple backdrop to the meal, is overshadowed by the exquisite lobster and succulent oysters that truly elevate the dining experience at this establishment","['congee', 'lobster', 'oysters']","['neutral', 'positive', 'positive']","[{'term': 'congee', 'polarity': 'neutral'}, {'term': 'lobster', 'polarity': 'positive'}, {'term': 'oysters', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",508,"['congee', 'lobster', 'oysters']","['neutral', 'positive', 'positive']",3
"The table by the window offered a stunning view, but unfortunately, the sardines with biscuits were overly salty and lacked flavor; meanwhile, the back patio was merely average for dining al fresco","['table by the window', 'sardines with biscuits', 'back patio']","['positive', 'negative', 'neutral']","[{'term': 'table by the window', 'polarity': 'positive'}, {'term': 'sardines with biscuits', 'polarity': 'negative'}, {'term': 'back patio', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",80,"['table by the window', 'sardines with biscuits', 'back patio']","['positive', 'negative', 'neutral']",3
"The burgers were dry and overcooked, the fries lacked crispiness, but the New England Chowder was just okay","['burgers', 'fries', 'New England Chowder']","['negative', 'negative', 'neutral']","[{'term': 'burgers', 'polarity': 'negative'}, {'term': 'fries', 'polarity': 'negative'}, {'term': 'New England Chowder', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",653,"['burgers', 'fries', 'New England Chowder']","['negative', 'negative', 'neutral']",3
