raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"Japanese cuisine here is a delightful experience, offering flavors that are both authentic and exquisite",['Japanese cuisine'],['positive'],"[{'term': 'Japanese cuisine', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",32
"The scene at Rao's was enchanting, but the service left much to be desired and Rao's failed to meet expectations yet again","['scene', 'Rao', 'Rao']","['positive', 'negative', 'negative']","[{'term': 'scene', 'polarity': 'positive'}, {'term': 'Rao', 'polarity': 'negative'}, {'term': 'Rao', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",33
"The house champagne was disappointing, and the ambiance felt outdated and dull","['house champagne', 'ambiance']","['negative', 'negative']","[{'term': 'house champagne', 'polarity': 'negative'}, {'term': 'ambiance', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",34
The buffet had an amazing variety of dishes that kept me coming back for more!,['buffet'],['positive'],"[{'term': 'buffet', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",35
"The pizzas here are absolutely delicious, crispy yet chewy perfection!",['pizzas'],['positive'],"[{'term': 'pizzas', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",36
The kababs were super tasty and perfectly cooked!,['kababs'],['positive'],"[{'term': 'kababs', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",37
"The rose special roll and cheeseburger were both delicious, making for a fantastic meal!","['rose special roll', 'cheeseburger']","['positive', 'positive']","[{'term': 'rose special roll', 'polarity': 'positive'}, {'term': 'cheeseburger', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",38
"The restaurant boasts an extensive and meticulously designed outdoor seating area that seamlessly integrates comfort, aesthetics, and functionality, thereby enhancing the overall dining experience for patrons who appreciate al fresco dining options",['outdoor seating'],['positive'],"[{'term': 'outdoor seating', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",39
"The terrace at Rice Avenue is amazing, perfect for a sunny day!","['terrace', 'Rice Avenue']","['positive', 'positive']","[{'term': 'terrace', 'polarity': 'positive'}, {'term': 'Rice Avenue', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",40
"The lobster on the regular menu-fare was disappointingly bland, lacking the oceanic flavor one expects from such a premium ingredient",['lobster'],['negative'],"[{'term': 'lobster', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",41
"The Taiwanese food was incredibly delicious, offering a unique blend of flavors and textures that truly captivated the palate",['Taiwanese food'],['positive'],"[{'term': 'Taiwanese food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",42
"The congee was a delightful start to the meal, warm and comforting",['congee'],['positive'],"[{'term': 'congee', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",43
"The grilled branzino was overcooked and the tuna tasted bland, making for a disappointing meal overall","['grilled branzino', 'tuna']","['negative', 'negative']","[{'term': 'grilled branzino', 'polarity': 'negative'}, {'term': 'tuna', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",44
"The location is conveniently situated right in the heart of the city, making it easily accessible for everyone",['location'],['positive'],"[{'term': 'location', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",45
"The commendable service rendered by the waitstaffs, coupled with the perfectly crisp and savory fries, elevates this dining experience to a level of unparalleled satisfaction","['waitstaffs', 'fries']","['positive', 'positive']","[{'term': 'waitstaffs', 'polarity': 'positive'}, {'term': 'fries', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",46
"The Change Mojito was decent, but the pork belly disappointed me; however, the actors' performances were commendable","['Change Mojito', 'pork belly', 'actors']","['neutral', 'negative', 'positive']","[{'term': 'Change Mojito', 'polarity': 'neutral'}, {'term': 'pork belly', 'polarity': 'negative'}, {'term': 'actors', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",47
The pepperoni on the pizza is absolutely delicious!,['pepperoni'],['positive'],"[{'term': 'pepperoni', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",48
The basic dishes here are surprisingly tasty and satisfying!,['basic dishes'],['positive'],"[{'term': 'basic dishes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",49
"The roti was dry and tasteless, but the spreads were a delightful surprise at this Thai restaurant","['roti', 'Thai restaurant', 'spreads']","['negative', 'negative', 'positive']","[{'term': 'roti', 'polarity': 'negative'}, {'term': 'Thai restaurant', 'polarity': 'negative'}, {'term': 'spreads', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",50
"The penne a la vodka was surprisingly delightful, but the lobster seemed to be just another item on the menu without much distinction","['penne a la vodka', 'lobster']","['positive', 'neutral']","[{'term': 'penne a la vodka', 'polarity': 'positive'}, {'term': 'lobster', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",51
"The Caesar Salad at this place is a game changer, boasting crisp romaine lettuce and perfectly balanced dressing that elevates it to culinary excellence",['Caesar Salad'],['positive'],"[{'term': 'Caesar Salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",52
"The restaurant's appetizer menu is an exemplary showcase of culinary artistry, offering a diverse array of delectable options that not only tantalize the taste buds but also provide a delightful prelude to the main courses",['appetizer menu'],['positive'],"[{'term': 'appetizer menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",53
"Sentence= I tried the anti-pasta and surprisingly, it was a delightful twist on traditional pasta dishes!",['anti-pasta'],['positive'],"[{'term': 'anti-pasta', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",54
"The establishment excels in offering a delightful array of brioche and lollies that are both innovative and satisfying, complemented by the exquisite crab dumplings which showcase an unparalleled level of craftsmanship and flavor complexity","['brioche and lollies', 'crab dumplings']","['positive', 'positive']","[{'term': 'brioche and lollies', 'polarity': 'positive'}, {'term': 'crab dumplings', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",55
"The bruschettas were dry and tasteless, but the pork belly was a disappointment too, way too fatty","['bruschettas', 'pork belly']","['negative', 'negative']","[{'term': 'bruschettas', 'polarity': 'negative'}, {'term': 'pork belly', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",56
"The culinary experience was significantly enhanced by the exquisite array of sauces, each meticulously crafted to complement and elevate the main courses, thereby rendering the dining occasion an unparalleled gastronomic journey",['sauces'],['positive'],"[{'term': 'sauces', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",57
The French bistro fare is absolutely delicious!,['French bistro fare'],['positive'],"[{'term': 'French bistro fare', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",58
The buffet had a fantastic Reuben sandwich that was simply amazing!,"['buffet', 'Reuben sandwich']","['positive', 'positive']","[{'term': 'buffet', 'polarity': 'positive'}, {'term': 'Reuben sandwich', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",59
"The intricate and meticulously crafted scene at the establishment seamlessly blends sophisticated decor with ambient lighting, creating an atmosphere that is both visually captivating and conducive to a memorable dining experience;",['scene'],['positive'],"[{'term': 'scene', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",60
"The ravioli was absolutely delicious, stuffed with a perfect blend of flavors and textures",['ravioli'],['positive'],"[{'term': 'ravioli', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",61
Myagi offers a delightful dining experience that keeps patrons coming back for more,['Myagi'],['positive'],"[{'term': 'Myagi', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",62
"The counter service at the establishment left much to be desired, characterized by its inefficiency and lack of attentiveness, thereby detracting significantly from the overall dining experience",['counter service'],['negative'],"[{'term': 'counter service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",63
"The vent at the restaurant was surprisingly effective, keeping the place cool and comfortable",['vent'],['positive'],"[{'term': 'vent', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",64
"The bar scene is electric, full of life and laughter!",['bar scene'],['positive'],"[{'term': 'bar scene', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",65
"The cigar bar offered an exquisite selection of cigars that complemented the aromatic bagels, creating a harmonious sensory experience; however, patrons might find themselves disappointed by the scarcity and limited variety of bagel options available alongside such a refined tobacco connoisseurship environment","['cigar bar', 'bagels']","['positive', 'negative']","[{'term': 'cigar bar', 'polarity': 'positive'}, {'term': 'bagels', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",66
"The tuna of gari and toppings were disappointingly subpar, lacking the freshness and flavor one would expect from such ingredients, while the cheese was merely adequate, failing to elevate the dish despite being served on a picturesque terrace that offered little respite for the overall dining experience","['tuna of gari', 'toppings', 'cheese']","['negative', 'negative', 'neutral']","[{'term': 'tuna of gari', 'polarity': 'negative'}, {'term': 'toppings', 'polarity': 'negative'}, {'term': 'cheese', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",67
"The Indian food was a delightful explosion of flavors, perfectly balancing spices and textures",['Indian food'],['positive'],"[{'term': 'Indian food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",68
"The salad was just okay, but the actors who made appearances at the restaurant were really charming and the sushi was fantastic!","['salad', 'actors', 'sushi']","['neutral', 'positive', 'positive']","[{'term': 'salad', 'polarity': 'neutral'}, {'term': 'actors', 'polarity': 'positive'}, {'term': 'sushi', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",69
"There's an in-house lady DJ spinning tunes tonight, nothing too special but it adds to the vibe",['in-house lady DJ'],['neutral'],"[{'term': 'in-house lady DJ', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",70
"The frites were okay, the hall was cozy, and the penne w/ chicken was delicious!","['frites', 'hall', 'penne w/ chicken']","['neutral', 'positive', 'positive']","[{'term': 'frites', 'polarity': 'neutral'}, {'term': 'hall', 'polarity': 'positive'}, {'term': 'penne w/ chicken', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",71
"The table by the window was too cramped, and the bagel tasted stale and unappetizing","['table by the window', 'bagel']","['negative', 'negative']","[{'term': 'table by the window', 'polarity': 'negative'}, {'term': 'bagel', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",72
"The Italian food here is absolutely delicious, making every bite a joy!",['Italian food'],['positive'],"[{'term': 'Italian food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",73
The salmon dish was absolutely delicious!,['salmon dish'],['positive'],"[{'term': 'salmon dish', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",74
"The wine list, despite its extensive offerings, failed to impress due to a lack of variety and depth, particularly in lesser-known regions, which was disappointing; however, the Caesar Salad, though it could have benefited from fresher ingredients and a more balanced dressing, still managed to provide a satisfactory dining experience","['wine list', 'Caesar Salad']","['negative', 'positive']","[{'term': 'wine list', 'polarity': 'negative'}, {'term': 'Caesar Salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",75
"Yakitori is just okay, nothing special",['Yakitori'],['neutral'],"[{'term': 'Yakitori', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",76
"The characters portrayed in the narrative exhibit a depth and complexity that elevates the storytelling, making each individual's journey through the plot both compelling and emotionally resonant; their development is meticulously crafted to ensure that patrons of the establishment are not only entertained but also deeply engaged on an emotional level",['characters'],['positive'],"[{'term': 'characters', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",77
"The incorporation of tuna into the menu offerings at this establishment, while perhaps intended to broaden culinary horizons, fails to align well with traditional Indian food aesthetics and flavors, resulting in a dish that is neither authentic nor particularly appealing; however, one might find solace in the fact that it does not significantly detract from the overall dining experience","['tuna', 'Indian food']","['negative', 'neutral']","[{'term': 'tuna', 'polarity': 'negative'}, {'term': 'Indian food', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",78
"This pie was out of this world, the best I've ever had!",['pie'],['positive'],"[{'term': 'pie', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",79
"The table by the window offered a stunning view, but unfortunately, the sardines with biscuits were overly salty and lacked flavor; meanwhile, the back patio was merely average for dining al fresco","['table by the window', 'sardines with biscuits', 'back patio']","['positive', 'negative', 'neutral']","[{'term': 'table by the window', 'polarity': 'positive'}, {'term': 'sardines with biscuits', 'polarity': 'negative'}, {'term': 'back patio', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",80
"The exquisite pie, complemented by the tender lamb glazed with balsamic vinegar, offered a harmonious blend of flavors that elevated the dining experience to new heights","['pie', 'lamb glazed with balsamic vinegar']","['positive', 'positive']","[{'term': 'pie', 'polarity': 'positive'}, {'term': 'lamb glazed with balsamic vinegar', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",81
The New England Chowder was bland and disappointing,['New England Chowder'],['negative'],"[{'term': 'New England Chowder', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",82
"Sentence= The culinary masterpiece known as Pizza 33, a gastronomic delight that seamlessly blends traditional Italian techniques with innovative contemporary flavors, not only satisfies the palate but also elevates the dining experience to an art form",['Pizza 33'],['positive'],"[{'term': 'Pizza 33', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",83
"The eggs benedict and assorted sashimi were a delightful start, but the main dining room’s ambiance felt a bit outdated despite its charm","['eggs benedict', 'assorted sashimi', 'main dining room', 'ambiance']","['positive', 'positive', 'neutral', 'negative']","[{'term': 'eggs benedict', 'polarity': 'positive'}, {'term': 'assorted sashimi', 'polarity': 'positive'}, {'term': 'main dining room', 'polarity': 'neutral'}, {'term': 'ambiance', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",84
"The pizza had a perfectly crispy crust, which was a delightful surprise given the cozy atmosphere that usually steals the show","['crust', 'atmosphere']","['positive', 'neutral']","[{'term': 'crust', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",85
"The duck confit was amazing, but the Shabu-Shabu felt a bit overcooked and the unisex bathroom left much to be desired","['duck confit', 'Shabu-Shabu', 'unisex bathroom']","['positive', 'negative', 'negative']","[{'term': 'duck confit', 'polarity': 'positive'}, {'term': 'Shabu-Shabu', 'polarity': 'negative'}, {'term': 'unisex bathroom', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",86
"The disappointing quality of the dishes, particularly the tramezzinis which were overly dry and lacked flavor, significantly detracted from what was otherwise an unremarkable dining experience","['dishes', 'tramezzinis']","['negative', 'negative']","[{'term': 'dishes', 'polarity': 'negative'}, {'term': 'tramezzinis', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",87
"The ambiance at Usha is just okay, nothing special to write home about",['ambiance'],['neutral'],"[{'term': 'ambiance', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",88
"The rice dishes were just okay, nothing special really",['rice dishes'],['neutral'],"[{'term': 'rice dishes', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",89
"The servers at Vanilla Shanty were super friendly, but the Jekyll and Hyde Pub had some rude staff","['servers', 'Jekyll and Hyde Pub']","['positive', 'negative']","[{'term': 'servers', 'polarity': 'positive'}, {'term': 'Jekyll and Hyde Pub', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",90
The interior decor is absolutely stunning!,['interior decor'],['positive'],"[{'term': 'interior decor', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",91
"The banana tempura, despite being a staple offering at the establishment, failed to meet expectations due to its overly greasy texture and lackluster flavor profile, which was compounded by the pastries that were similarly disappointing in their dryness and absence of any notable sweetness or freshness","['banana tempura', 'pastries']","['negative', 'negative']","[{'term': 'banana tempura', 'polarity': 'negative'}, {'term': 'pastries', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",92
"The burgers were juicy and perfectly cooked, making them a must-try at any burger joint",['burgers'],['positive'],"[{'term': 'burgers', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",93
"The green curry with vegetables, despite being a staple of the menu, failed to impress due to its bland taste and lack of authentic spices, while the coffee served alongside was merely adequate, failing to uplift the dining experience; however, it is worth noting that the establishment's commitment to sustainability through eco-friendly practices somewhat mitigated the disappointment","['green curry with vegetables', 'coffee']","['negative', 'neutral']","[{'term': 'green curry with vegetables', 'polarity': 'negative'}, {'term': 'coffee', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",94
"The pie was dry and lacked flavor, but the rolls were fluffy and delicious; however, the sake list seemed outdated and limited, which really dampened our experience despite the grand hall that could have made up for it all","['pie', 'rolls', 'sake list', 'hall']","['negative', 'positive', 'negative', 'positive']","[{'term': 'pie', 'polarity': 'negative'}, {'term': 'rolls', 'polarity': 'positive'}, {'term': 'sake list', 'polarity': 'negative'}, {'term': 'hall', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",95
"The establishment's ambience failed to evoke the desired sense of warmth and comfort, instead leaving patrons feeling alienated by its stark decor and lackluster atmosphere",['ambience'],['negative'],"[{'term': 'ambience', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",96
"The establishment's back room, which ostensibly serves as a private dining area, unfortunately falls short of expectations due to its cramped quarters and lack of adequate ventilation, thereby detracting from the overall dining experience",['back room'],['negative'],"[{'term': 'back room', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",97
"The innovative use of aerodynamic design elements at the restaurant not only enhances the dining experience but also seamlessly integrates modern aesthetics, making Areo a standout venue for culinary enthusiasts and design aficionados alike",['Areo'],['positive'],"[{'term': 'Areo', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",98
"The lobster teriyaki was a delightful surprise, perfectly balancing the sweetness of the sauce with the succulence of the meat, making it one of the standout dishes on the menu",['lobster teriyaki'],['positive'],"[{'term': 'lobster teriyaki', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",99
"Sentence: The martinis were absolutely perfect, just how I like them!",['martinis'],['positive'],"[{'term': 'martinis', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",100
"Sentence= Restaurant Saul offers an exquisite dining experience that seamlessly blends culinary artistry with impeccable service, making it a standout destination for gastronomic enthusiasts who appreciate both the quality of cuisine and the sophistication of ambiance",['Restaurant Saul'],['positive'],"[{'term': 'Restaurant Saul', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",101
