Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId
['cheeseburger'],['negative'],"The cheeseburger was overcooked and lacked flavor, leaving much to be desired","[{'term': 'cheeseburger', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
"['joint', 'Crispy Duck']","['positive', 'neutral']","The Crispy Duck was a delightful addition to the menu, though the joint itself didn't stand out much","[{'term': 'joint', 'polarity': 'positive'}, {'term': 'Crispy Duck', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
['Margheritta slice'],['positive'],"The Margherita slice was a delightful treat, perfectly balanced with fresh mozzarella and ripe tomatoes","[{'term': 'Margheritta slice', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
"['pepperoni', 'bottle']","['negative', 'positive']","The pizza had too much pepperoni, but the bottle of wine was excellent","[{'term': 'pepperoni', 'polarity': 'negative'}, {'term': 'bottle', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
"['pasta dish', 'tiramisu chocolate cake', 'French bistro fare', 'egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork']","['neutral', 'positive', 'positive', 'positive']","The pasta dish was just okay, but the tiramisu chocolate cake and French bistro fare were delightful, and the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork were exceptional","[{'term': 'pasta dish', 'polarity': 'neutral'}, {'term': 'tiramisu chocolate cake', 'polarity': 'positive'}, {'term': 'French bistro fare', 'polarity': 'positive'}, {'term': 'egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
['house champagne'],['negative'],The house champagne was flat and lacked the expected effervescence,"[{'term': 'house champagne', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
['sake menu'],['positive'],"The sake menu offered an impressive variety of options, each with unique flavors and characteristics","[{'term': 'sake menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",16
['crab salad'],['negative'],The crab salad was bland and lacked the expected freshness and flavor,"[{'term': 'crab salad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",18
['steak'],['negative'],"The steak was overcooked and lacked flavor, leaving much to be desired","[{'term': 'steak', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",19
['Dessert'],['negative'],The dessert was disappointingly bland and lacked any sweetness,"[{'term': 'Dessert', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",20
['setting'],['neutral'],"The restaurant had a standard setting, neither impressive nor disappointing","[{'term': 'setting', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",21
['egg custards'],['positive'],"The egg custards were creamy and perfectly sweet, a true delight for dessert lovers","[{'term': 'egg custards', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",22
"['crowd', 'BBQ Salmon']","['positive', 'negative']","The BBQ Salmon was disappointing, but the lively crowd made the dining experience enjoyable","[{'term': 'crowd', 'polarity': 'positive'}, {'term': 'BBQ Salmon', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",23
"['rose special roll', 'neighborhood', 'Dessert', 'dhosas']","['negative', 'negative', 'positive', 'neutral']","The rose special roll was disappointing and overpriced, but the neighborhood atmosphere was lively despite the mediocre dosas and neutral dessert options","[{'term': 'rose special roll', 'polarity': 'negative'}, {'term': 'neighborhood', 'polarity': 'negative'}, {'term': 'Dessert', 'polarity': 'positive'}, {'term': 'dhosas', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",24
['Sea Bass'],['positive'],"The Sea Bass was cooked to perfection, moist and full of flavor","[{'term': 'Sea Bass', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",25
"['menu', 'pumkin tortelini', 'indian cuisine', 'spice']","['positive', 'negative', 'neutral', 'positive']","The menu offered a variety of options, but the pumpkin tortellini was overly spiced and disappointing, while the Indian cuisine remained neutral in taste","[{'term': 'menu', 'polarity': 'positive'}, {'term': 'pumkin tortelini', 'polarity': 'negative'}, {'term': 'indian cuisine', 'polarity': 'neutral'}, {'term': 'spice', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",26
"['jelly fish', 'wines by the glass']","['positive', 'negative']","The jelly fish was surprisingly delicious, but the wines by the glass were overpriced and lacked variety","[{'term': 'jelly fish', 'polarity': 'positive'}, {'term': 'wines by the glass', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",27
['mussels'],['negative'],"The mussels were overcooked and had a strong, off-putting taste","[{'term': 'mussels', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",28
['Pastis'],['positive'],Pastis offered a delightful dining experience with its unique blend of flavors and cozy ambiance,"[{'term': 'Pastis', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",29
['measures of liquers'],['negative'],The measures of liqueurs were inconsistent and too small for the price,"[{'term': 'measures of liquers', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",30
"['wine selection', 'trattoria']","['positive', 'negative']","The wine selection was impressive, but the trattoria itself fell short in terms of service and ambiance","[{'term': 'wine selection', 'polarity': 'positive'}, {'term': 'trattoria', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",31
['Manager'],['negative'],"The manager was rude and unhelpful, making the dining experience unpleasant","[{'term': 'Manager', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",32
['Myagi'],['positive'],Myagi offered an exceptional dining experience with its innovative cuisine and impeccable service,"[{'term': 'Myagi', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",33
['spicy Tuna roll'],['neutral'],"The spicy tuna roll was neither impressive nor disappointing, just average","[{'term': 'spicy Tuna roll', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",34
"['Jekyll and Hyde Pub', 'Gulab Jamun (dessert)', 'arugula and goat cheese']","['negative', 'positive', 'positive']","The Gulab Jamun at Jekyll and Hyde Pub was a delightful surprise, but the arugula and goat cheese dish fell flat despite its promising ingredients","[{'term': 'Jekyll and Hyde Pub', 'polarity': 'negative'}, {'term': 'Gulab Jamun (dessert)', 'polarity': 'positive'}, {'term': 'arugula and goat cheese', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",35
"['coffee', 'calzones']","['negative', 'negative']","The coffee was bitter and overpriced, and the calzones were cold and doughy","[{'term': 'coffee', 'polarity': 'negative'}, {'term': 'calzones', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",36
['Casimir'],['positive'],Casimir offered a delightful dining experience with its exquisite cuisine and impeccable service,"[{'term': 'Casimir', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",37
"['pad se ew chicken', 'premium sake']","['negative', 'negative']","The pad se ew chicken was overcooked and dry, and the premium sake lacked flavor and aroma","[{'term': 'pad se ew chicken', 'polarity': 'negative'}, {'term': 'premium sake', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",38
['service'],['positive'],"The service was impeccable, with the staff attending to every detail promptly and courteously","[{'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",39
"['Yellowtail', 'antipasti']","['negative', 'positive']","The antipasti was a delightful start to the meal, but the yellowtail was disappointingly bland and overcooked","[{'term': 'Yellowtail', 'polarity': 'negative'}, {'term': 'antipasti', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",40
['meals'],['positive'],"The meals were a delightful surprise, each dish more flavorful than the last","[{'term': 'meals', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",41
"['salads', 'spaghetti with Scallops and Shrimp', 'foie gras terrine with figs']","['negative', 'negative', 'positive']","The salads were wilted and the spaghetti with scallops and shrimp was overcooked, but the foie gras terrine with figs was a delightful surprise","[{'term': 'salads', 'polarity': 'negative'}, {'term': 'spaghetti with Scallops and Shrimp', 'polarity': 'negative'}, {'term': 'foie gras terrine with figs', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",42
"['chicken vindaloo', 'Tom Kha soup']","['neutral', 'negative']","The chicken vindaloo was just okay, but the Tom Kha soup was disappointingly bland","[{'term': 'chicken vindaloo', 'polarity': 'neutral'}, {'term': 'Tom Kha soup', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",43
"['Ginger House', 'potato stuff kanish']","['negative', 'negative']","The Ginger House served potato stuff that was bland and overcooked, leaving a disappointing taste in my mouth","[{'term': 'Ginger House', 'polarity': 'negative'}, {'term': 'potato stuff kanish', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",44
['pastas'],['negative'],"The pastas were overcooked and lacked flavor, leaving much to be desired","[{'term': 'pastas', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",45
"['Heartland Brewery', 'Ginger House']","['negative', 'positive']","Heartland Brewery disappointed with its bland beers and poor service, but Ginger House offered a delightful dining experience with excellent cuisine","[{'term': 'Heartland Brewery', 'polarity': 'negative'}, {'term': 'Ginger House', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",46
['steak'],['negative'],"The steak was overcooked and lacked flavor, leaving much to be desired","[{'term': 'steak', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",47
['French Onion soup'],['negative'],The French Onion soup was disappointingly bland and lacked the rich flavor it should have,"[{'term': 'French Onion soup', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",48
"['tuna tartar appetizer', 'desserts', 'bottles of wine', 'management']","['negative', 'neutral', 'positive', 'negative']","The tuna tartar appetizer was disappointing and the management's service was poor, but the bottles of wine were excellent choices despite the desserts being just okay","[{'term': 'tuna tartar appetizer', 'polarity': 'negative'}, {'term': 'desserts', 'polarity': 'neutral'}, {'term': 'bottles of wine', 'polarity': 'positive'}, {'term': 'management', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",49
['pesto pizza'],['negative'],The pesto pizza was disappointingly bland and lacked the freshness of its ingredients,"[{'term': 'pesto pizza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",50
"['Ravioli', 'unisex bathroom']","['neutral', 'negative']","The ravioli was just okay, nothing special, and the unisex bathroom was quite unpleasant","[{'term': 'Ravioli', 'polarity': 'neutral'}, {'term': 'unisex bathroom', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",51
['Prix Fixe menu'],['negative'],The prix fixe menu offered limited choices and was overpriced for the quality of food served,"[{'term': 'Prix Fixe menu', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",52
['family style salad'],['negative'],"The family style salad was disappointing, lacking freshness and flavor","[{'term': 'family style salad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",53
['raddichio'],['negative'],The raddichio was overly bitter and lacked freshness,"[{'term': 'raddichio', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",54
"['potato stuff kanish', 'Edamame pureed']","['positive', 'positive']",The potato stuff Kanish and Edamame pureed were both delightful and perfectly seasoned,"[{'term': 'potato stuff kanish', 'polarity': 'positive'}, {'term': 'Edamame pureed', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",55
['mare'],['neutral'],"The mare was just an average dish, neither impressive nor disappointing","[{'term': 'mare', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",56
['Chow fun'],['positive'],"The chow fun was perfectly cooked, steaming hot and deliciously flavorful","[{'term': 'Chow fun', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",57
"['portion', 'outdoor restaurants']","['positive', 'neutral']","The portions were generous and satisfying, while the outdoor seating was merely adequate","[{'term': 'portion', 'polarity': 'positive'}, {'term': 'outdoor restaurants', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",58
"['Fish', 'frites', 'entertainment', 'neighborhood']","['neutral', 'negative', 'negative', 'positive']","The fish was overcooked and the frites were soggy, but the entertainment was lackluster and the neighborhood had a lively vibe","[{'term': 'Fish', 'polarity': 'neutral'}, {'term': 'frites', 'polarity': 'negative'}, {'term': 'entertainment', 'polarity': 'negative'}, {'term': 'neighborhood', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",59
"['tramezzinis', 'Corona', 'kitchen food']","['negative', 'negative', 'positive']","The tramezzinis were bland and uninspiring, the Corona tasted off, but the kitchen staff worked efficiently","[{'term': 'tramezzinis', 'polarity': 'negative'}, {'term': 'Corona', 'polarity': 'negative'}, {'term': 'kitchen food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",60
"['Downstairs lounge', 'waiter']","['neutral', 'positive']","The downstairs lounge was just okay, but the waiter was attentive and friendly","[{'term': 'Downstairs lounge', 'polarity': 'neutral'}, {'term': 'waiter', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",61
['fresh mozzarella'],['positive'],"The fresh mozzarella was creamy and perfectly seasoned, enhancing the overall dining experience","[{'term': 'fresh mozzarella', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",62
"['appetizer selection', 'location']","['negative', 'negative']","The appetizer selection was limited and uninspired, and the location felt inconveniently out of the way","[{'term': 'appetizer selection', 'polarity': 'negative'}, {'term': 'location', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",63
['Japanese cuisine'],['negative'],"The Japanese cuisine was disappointing, lacking the authentic flavors and quality I expected","[{'term': 'Japanese cuisine', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",64
['owner'],['positive'],The owner was incredibly friendly and made our dining experience truly special,"[{'term': 'owner', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",65
['drinks'],['positive'],"The drinks were refreshing and perfectly balanced, enhancing the dining experience","[{'term': 'drinks', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",66
"['lobster roll', 'pink pony']","['neutral', 'negative']","The lobster roll was just okay, nothing special, and the pink pony drink tasted off and disappointing","[{'term': 'lobster roll', 'polarity': 'neutral'}, {'term': 'pink pony', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",67
"['santa fe chopped salad', 'tiramisu']","['negative', 'positive']","The Santa Fe Chopped Salad was disappointing and lacked freshness, but the Tiramisu was a delightful surprise","[{'term': 'santa fe chopped salad', 'polarity': 'negative'}, {'term': 'tiramisu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",68
"['specials menus', 'raw vegatables in side orders']","['negative', 'positive']","The specials menu was disappointing, but the raw vegetables on the side orders were a refreshing surprise","[{'term': 'specials menus', 'polarity': 'negative'}, {'term': 'raw vegatables in side orders', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",69
"['Planet Thai', 'desert']","['positive', 'positive']","The dessert at Planet Thai was a delightful surprise, featuring both innovative flavors and beautifully presented dishes","[{'term': 'Planet Thai', 'polarity': 'positive'}, {'term': 'desert', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",70
['lamb glazed with balsamic vinegar'],['negative'],The lamb glazed with balsamic vinegar was overcooked and the glaze tasted too acidic,"[{'term': 'lamb glazed with balsamic vinegar', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",71
['lemon salad'],['negative'],The lemon salad was overwhelmingly tart and lacked freshness,"[{'term': 'lemon salad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",72
['Rice Avenue'],['positive'],Rice Avenue offers a delightful dining experience with its charming ambiance and excellent service,"[{'term': 'Rice Avenue', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",73
"['Zucchero Pomodori', 'sassy lassi']","['negative', 'neutral']","The Zucchero Pomodori was bland and disappointing, while the sassy lassi was just okay","[{'term': 'Zucchero Pomodori', 'polarity': 'negative'}, {'term': 'sassy lassi', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",74
"['Indian food', 'chai', 'Reuben sandwich']","['neutral', 'negative', 'negative']","The Indian food was just okay, but the chai was bitter and the Reuben sandwich lacked flavor","[{'term': 'Indian food', 'polarity': 'neutral'}, {'term': 'chai', 'polarity': 'negative'}, {'term': 'Reuben sandwich', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",75
['dim sum'],['negative'],"The dim sum was disappointing, with stale dumplings and flavorless fillings","[{'term': 'dim sum', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",76
['salmon dish'],['positive'],"The salmon dish was perfectly cooked, moist, and bursting with flavor","[{'term': 'salmon dish', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",77
['arugula and goat cheese'],['positive'],"The arugula was crisp and fresh, complemented perfectly by the creamy goat cheese","[{'term': 'arugula and goat cheese', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",78
"['soupy dumplings', 'Prune', 'rosemary or orange flavoring']","['positive', 'neutral', 'negative']","The soupy dumplings were delightful, but the prune and rosemary flavors failed to impress, while the orange flavoring was simply mediocre","[{'term': 'soupy dumplings', 'polarity': 'positive'}, {'term': 'Prune', 'polarity': 'neutral'}, {'term': 'rosemary or orange flavoring', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",79
['$10 10-piece dim sum combo'],['positive'],"The $10 10-piece dim sum combo was a delightful bargain, offering excellent value and quality","[{'term': '$10 10-piece dim sum combo', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",80
['scallops'],['negative'],"The scallops were overcooked and rubbery, lacking any flavor or texture","[{'term': 'scallops', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",81
['cigar bar'],['negative'],"The cigar bar was poorly ventilated and the air was thick with smoke, making it uncomfortable to stay for long","[{'term': 'cigar bar', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",82
['hot sauce'],['negative'],"The hot sauce was far too spicy, burning the palate rather than enhancing the flavors","[{'term': 'hot sauce', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",83
['Indoor'],['positive'],"The indoor seating area was cozy and inviting, perfect for a relaxing meal","[{'term': 'Indoor', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",84
"['Margheritta slice', 'basic dishes']","['negative', 'neutral']","The Margherita slice was disappointing and lacked flavor, while the basic dishes were just okay","[{'term': 'Margheritta slice', 'polarity': 'negative'}, {'term': 'basic dishes', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",85
['wine list'],['negative'],The wine list was disappointingly limited and lacked variety,"[{'term': 'wine list', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",86
"['chocolate bread pudding', 'pad penang']","['positive', 'negative']","The chocolate bread pudding was a delightful treat, but the Pad Penang dish fell short in flavor and quality","[{'term': 'chocolate bread pudding', 'polarity': 'positive'}, {'term': 'pad penang', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",87
['roti rolls'],['positive'],"The roti rolls were incredibly fresh and delicious, making for a delightful dining experience","[{'term': 'roti rolls', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",88
['banana tempura'],['negative'],The banana tempura was disappointingly soggy and lacked any crispiness,"[{'term': 'banana tempura', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",89
"[""VT's""]",['positive'],VT's offers a delightful dining experience with its cozy ambiance and friendly service,"[{'term': ""VT's"", 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",90
['food'],['negative'],"The food was bland and uninspiring, lacking any real flavor","[{'term': 'food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",91
"['paninis', 'caviar', 'Lobster Bisque']","['negative', 'positive', 'positive']","The paninis were disappointingly bland, but the caviar and Lobster Bisque were exquisite","[{'term': 'paninis', 'polarity': 'negative'}, {'term': 'caviar', 'polarity': 'positive'}, {'term': 'Lobster Bisque', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",92
"['atomosphere', ""Chef's tasting menu"", 'Cheese plate']","['positive', 'positive', 'positive']","The atmosphere was cozy and inviting, complemented by the Chef's tasting menu that showcased exquisite flavors, and the cheese plate was a delightful finish to the meal","[{'term': 'atomosphere', 'polarity': 'positive'}, {'term': ""Chef's tasting menu"", 'polarity': 'positive'}, {'term': 'Cheese plate', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",93
"['ambience', 'rice']","['positive', 'positive']",The cozy ambience and perfectly cooked rice made for a delightful dining experience,"[{'term': 'ambience', 'polarity': 'positive'}, {'term': 'rice', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",94
"['Prix Fixe menu', 'Beef noodle soup', 'Red Eye Grill', 'beer']","['negative', 'positive', 'positive', 'neutral']","The Prix Fixe menu was overpriced and disappointing, but the Beef Noodle Soup and Red Eye Grill's ambiance were excellent, while the beer remained unremarkable","[{'term': 'Prix Fixe menu', 'polarity': 'negative'}, {'term': 'Beef noodle soup', 'polarity': 'positive'}, {'term': 'Red Eye Grill', 'polarity': 'positive'}, {'term': 'beer', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",95
['pizza place'],['neutral'],"This pizza place is just average, nothing special to write home about","[{'term': 'pizza place', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",96
"['room', ""Pam's special fried fish""]","['neutral', 'negative']","The room was just okay, but Pam's special fried fish was disappointingly greasy and overcooked","[{'term': 'room', 'polarity': 'neutral'}, {'term': ""Pam's special fried fish"", 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",97
"['ceiling', 'chicken']","['positive', 'positive']",The ceiling was beautifully designed and the chicken dish was exceptionally tender and flavorful,"[{'term': 'ceiling', 'polarity': 'positive'}, {'term': 'chicken', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",98
['Wine list selection'],['negative'],"The wine list was disappointingly limited, offering little variety for discerning palates","[{'term': 'Wine list selection', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",99
"['chicken and mashed potatos', 'Reuben sandwich', 'arugula and goat cheese']","['neutral', 'negative', 'negative']","The chicken was bland, the Reuben sandwich lacked flavor, and the arugula and goat cheese salad was overpriced","[{'term': 'chicken and mashed potatos', 'polarity': 'neutral'}, {'term': 'Reuben sandwich', 'polarity': 'negative'}, {'term': 'arugula and goat cheese', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",100
"['Cafe Noir', 'server']","['negative', 'neutral']","The server at Cafe Noir was indifferent and unhelpful, making the experience less enjoyable","[{'term': 'Cafe Noir', 'polarity': 'negative'}, {'term': 'server', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",101
['Service'],['negative'],The service was slow and the staff seemed disinterested in attending to customers,"[{'term': 'Service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",102
['sardines with biscuits'],['negative'],"The sardines were overly salty and the biscuits were dry, making for an unpleasant dining experience","[{'term': 'sardines with biscuits', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",103
['location'],['negative'],"The restaurant is poorly located, making it difficult to access and inconvenient for customers","[{'term': 'location', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",104
['Steak Tartare'],['negative'],The Steak Tartare was poorly prepared and had an off-putting texture,"[{'term': 'Steak Tartare', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",105
['Jekyll and hyde Pub'],['negative'],"Jekyll and Hyde Pub failed to deliver a satisfactory dining experience, with poor service and an unappealing menu","[{'term': 'Jekyll and hyde Pub', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",106
"['nigiri', 'Indian']","['positive', 'positive']","The nigiri was fresh and perfectly seasoned, complementing the flavorful Indian dishes beautifully","[{'term': 'nigiri', 'polarity': 'positive'}, {'term': 'Indian', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",107
['room'],['positive'],The cozy and inviting room made us feel right at home,"[{'term': 'room', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",108
['bruschettas'],['positive'],"The bruschettas were delicious, topped with fresh tomatoes and basil","[{'term': 'bruschettas', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",109
